Package,Built
acepack,3.3.0
ade4,3.3.2
adehabitat,3.3.2
adehabitatHR,3.3.2
adehabitatHS,3.3.2
adehabitatLT,3.3.2
adehabitatMA,3.3.2
akima,3.3.2
animation,3.3.2
assertthat,3.3.2
backports,3.3.2
base,3.3.2
base64enc,3.3.0
BH,3.3.2
bindr,3.3.2
bindrcpp,3.3.2
bitops,3.3.0
boot,3.3.2
broom,3.3.2
callr,3.3.0
caTools,3.3.0
CCA,3.3.0
cellranger,3.3.0
checkmate,3.3.2
CircStats,3.3.0
class,3.3.2
classInt,3.3.2
cli,3.3.2
clipr,3.3.2
clisymbols,3.3.2
cluster,3.3.2
coda,3.3.2
codetools,3.3.2
colorRamps,3.3.0
colorspace,3.3.2
compiler,3.3.2
corpcor,3.3.2
covr,3.3.2
crayon,3.3.2
crosstalk,3.3.2
curl,3.3.2
data.table,3.3.2
datasets,3.3.2
DBI,3.3.2
dbplyr,3.3.2
deldir,3.3.2
Deriv,3.3.2
desc,3.3.2
devtools,3.3.2
dichromat,3.3.0
digest,3.3.2
doParallel,3.3.2
dotCall64,3.3.2
dplyr,3.3.2
e1071,3.3.2
enc,3.3.2
evaluate,3.3.2
fda,3.3.2
FGN,3.3.0
fields,3.3.2
filehash,3.3.2
FNN,3.3.0
forcats,3.3.2
foreach,3.3.2
foreign,3.3.2
Formula,3.3.2
fs,3.3.2
gamm4,3.3.2
gbm,3.3.2
gdtools,3.3.2
geosphere,3.3.2
GGally,3.3.2
gganimate,3.3.2
ggforce,3.3.2
ggmap,3.3.2
ggplot2,3.3.2
ggplot2movies,3.3.0
ggraph,3.3.2
ggrepel,3.3.2
ggsn,3.3.2
gh,3.3.2
GISTools,3.3.0
git2r,3.3.2
glue,3.3.2
gmt,3.3.2
graphics,3.3.2
grDevices,3.3.2
grid,3.3.2
gridBase,3.3.0
gridExtra,3.3.2
gstat,3.3.2
gtable,3.3.0
gtools,3.3.0
haven,3.3.2
here,3.3.2
hexbin,3.3.2
highr,3.3.0
HKprocess,3.3.0
Hmisc,3.3.2
hms,3.3.2
hoardr,3.3.2
htmlTable,3.3.2
htmltools,3.3.2
htmlwidgets,3.3.2
httpuv,3.3.2
httr,3.3.2
igraph,3.3.2
ini,3.3.2
INLA,3.3.2
intervals,3.3.0
irlba,3.3.2
iterators,3.3.2
jpeg,3.3.0
jsonlite,3.3.2
KernSmooth,3.3.2
knitr,3.3.2
labeling,3.3.0
lattice,3.3.2
latticeExtra,3.3.0
lazyeval,3.3.2
leaflet,3.3.2
lme4,3.3.2
ltsa,3.3.0
lubridate,3.3.2
lunar,3.3.0
magrittr,3.3.0
mapdata,3.3.0
mapproj,3.3.2
maps,3.3.2
maptools,3.3.2
markdown,3.3.2
MASS,3.3.2
Matrix,3.3.2
MatrixModels,3.3.0
mcmc,3.3.2
MCMCpack,3.3.2
memoise,3.3.2
methods,3.3.2
mgcv,3.3.2
mime,3.3.0
minqa,3.3.0
misc3d,3.3.0
mixtools,3.3.2
mnormt,3.3.0
modelr,3.3.2
multcomp,3.3.2
munsell,3.3.0
mvtnorm,3.3.2
ncdf4,3.3.2
nlme,3.3.2
nloptr,3.3.0
NMF,3.3.0
nnet,3.3.2
numDeriv,3.3.0
openssl,3.3.2
orthopolynom,3.3.0
parallel,3.3.2
PBSmapping,3.3.2
pillar,3.3.2
pixmap,3.3.0
pkgconfig,3.3.2
pkgmaker,3.3.0
plogr,3.3.0
plot3D,3.3.2
plotdap,3.3.2
plotly,3.3.2
plyr,3.3.0
png,3.3.0
polynom,3.3.2
praise,3.3.0
prettymapr,3.3.2
prettyunits,3.3.0
progress,3.3.2
proj4,3.3.0
proto,3.3.0
psych,3.3.2
purrr,3.3.2
quantreg,3.3.2
R.methodsS3,3.3.0
R.oo,3.3.0
R.utils,3.3.2
R6,3.3.2
RandomFields,3.3.2
RandomFieldsUtils,3.3.2
RANN,3.3.2
rappdirs,3.3.0
raster,3.3.2
rasterVis,3.3.2
RColorBrewer,3.3.0
Rcpp,3.3.2
RcppEigen,3.3.2
RCurl,3.3.2
readr,3.3.2
readxl,3.3.2
registry,3.3.2
rematch,3.3.0
rematch2,3.3.2
reprex,3.3.2
rerddap,3.3.2
reshape,3.3.2
reshape2,3.3.2
rex,3.3.2
rgdal,3.3.2
rgeos,3.3.2
rgl,3.3.2
RgoogleMaps,3.3.0
rjson,3.3.0
rlang,3.3.2
rmarkdown,3.3.2
rngtools,3.3.0
rpart,3.3.2
rprojroot,3.3.2
rstudioapi,3.3.2
RUnit,3.3.0
rvest,3.3.0
sandwich,3.3.2
scales,3.3.2
SDMTools,3.3.0
segmented,3.3.2
selectr,3.3.2
sf,3.3.2
shape,3.3.2
shapefiles,3.3.0
shiny,3.3.2
sourcetools,3.3.2
sp,3.3.2
spacetime,3.3.2
spam,3.3.2
SparseM,3.3.2
spatial,3.3.2
SpatialDeltaGLMM,3.3.2
SpatialDFA,3.3.2
splancs,3.3.2
splines,3.3.2
stabledist,3.3.0
statmod,3.3.2
stats,3.3.2
stats4,3.3.2
stringi,3.3.2
stringr,3.3.2
styler,3.3.2
survival,3.3.2
svglite,3.3.2
tcltk,3.3.2
testthat,3.3.2
TH.data,3.3.2
ThorsonUtilities,3.3.2
tibble,3.3.2
tidyr,3.3.2
tidyselect,3.3.2
tidyverse,3.3.2
tkrplot,3.3.0
TMB,3.3.2
TMBhelper,3.3.2
tools,3.3.2
tweedie,3.3.2
tweenr,3.3.0
udunits2,3.3.2
units,3.3.2
usethis,3.3.2
utf8,3.3.2
utils,3.3.2
VAST,3.3.2
viridis,3.3.2
viridisLite,3.3.2
whisker,3.3.0
withr,3.3.2
XML,3.3.2
xml2,3.3.2
xtable,3.3.0
xts,3.3.2
yaml,3.3.2
zoo,3.3.2
